__label__joy	joy_0	as suggested above ; i moved the detector classes from o.a.t.detect to o.a.t.parser subpackages in revision . that should complete the last remaining open issue with this feature ; so resolving as fixed .	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.515 0.515 0.515 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
__label__joy	joy_1	yay ! it should be really really easy ( not including the test ; i think it 's just deleting characters )	0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.712 0.712 0.712 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
__label__love	love_0	thanks for the patch jì_rgen . revision .	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
__label__anger	anger_0	i should have marked this resolved back in september .	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
__label__love	love_1	patch applied . thanks florian .	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
__label__love __label__joy	love_joy_0	ah ; great ; things are running now . thanks guys .	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.25 0.25 0.25 1.0 0.0 0.0 0.0 0.0
__label__anger	anger_1	bug flavio more ? seriously ; discuss with flavio and come up with a patch & test that is deterministic . another option would be to refactor to allow the code in question to be tested as a true unit test ; rather than as a system test ( we need to work on that in general in zk ) . mockito ?	0.0 0.0 0.0 0.0 0.0 2.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.1 0.0 0.0 0.1 0.0 0.8 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.188 0.188 0.188 1.0 0.0 0.0 0.0 0.0
__label__fear	fear_0	i think with the latest code ; this ' pop ' message should only show up if an avt is used with an incorrect value . if avt 's are n't used ; the error should be caught statically and you should see the message : illegal value : sideways used for enum attribute : order . valid values are : ascending descending . do we have a testcase where the invalid value is in an avt ?	0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 1.0 0.0 0.0 4.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.07692307692307693 0.0 0.0 0.3076923076923077 0.07692307692307693 0.15384615384615385 0.5384615384615384 0.394 0.394 0.394 0.25 0.0 0.0 0.0 0.0 0.5 0.5 0.5 0.25 0.258 0.469 0.188 1.0
__label__sadness	sadness_0	oppss … sorry late reply … thx for handling this issue claus . i prefered it to be the way it is now ; document this behaviour as claus already did . i think there might be both behaviour have its particular usage ; if we want to have a param that is a string ; it makes sense to use < param > ... < / param > ; anything in between that 's enclosed with %{} will be evaluated and its tostring ( ) called . on the other hand ; if we want an object ; we could used the value attribute . i guess what i 'm trying to say is that both way of using param have their own usage . of course this is just my cents	0.0 0.0 0.0 0.0 2.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.058823529411764705 0.0 0.058823529411764705 0.8823529411764706 0.0 0.0 0.0 0.0 0.344 0.344 0.344 0.5 0.0 0.0 0.0 0.0 0.125 0.125 0.125 0.5
__label__love	love_2	patch is in. thanks .	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
