__label__joy	joy_0	as suggest above ; i move the detector class from #hlink# to #hlink# subpackages in revision . that should complete the last remain open issue with this feature ; so resolve as fix .	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.33453846153846156 0.7647058823529411 0.935 0.065 0.46 0.23529411764705882 -0.0 0.81 0.09368750000000002 0.9411764705882353 0.956 -0.96 -0.95 0.09044444444444444 0.5294117647058824 0.323 -0.79 0.247 -0.098625 0.47058823529411764 0.721 -0.78 0.721 0.30933333333333335 0.8823529411764706 0.935 -0.75 -0.75
__label__joy	joy_1	yay ! it should be really really easy ( not include the test ; i think it 's just delete character )	0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.642875 0.8 0.935 0.115 0.76 0.2 -0.0 0.78 0.32800000000000007 1.0 0.956 -0.82 -0.82 0.1205 0.4 0.858 -0.87 0.274 0.34299999999999997 0.4 0.958 -0.17 0.958 0.330125 0.8 0.914 -0.71 -0.55
__label__love	love_0	thanks for the patch jì_rgen . revision .	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.6296666666666667 0.6 0.935 0.935 0.33499999999999996 0.4 -0.0 0.09 0.2548 1.0 0.956 -0.58 -0.12 0.239 0.2 0.239 0.0 0.239 0.30500000000000005 0.4 0.561 0.0 0.561 0.26979999999999993 1.0 0.914 -0.62 -0.06
__label__anger	anger_0	i should have mark this resolve back in september .	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.3606 1.0 0.823 0.157 0.0 0.0 -0.0 -0.0 0.3176 1.0 0.854 -0.03 0.082 -0.15139999999999998 1.0 0.247 -0.7 0.191 -0.13 0.4 0.0 -0.19 -0.19 0.4518 1.0 0.912 0.0 0.198
__label__love	love_1	patch apply . thanks florian .	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.416 0.6666666666666666 0.746 0.746 0.58 0.3333333333333333 -0.0 0.58 0.07150000000000001 0.6666666666666666 0.723 -0.58 0.723 0.196 0.3333333333333333 0.196 0.0 0.196 0.21550000000000002 0.6666666666666666 0.561 -0.13 -0.13 0.11366666666666668 1.0 0.769 -0.62 0.769
__label__love __label__joy	love_joy_0	ah ; great ; thing be run now . thanks guy .	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.8486666666666666 0.6 0.943 0.943 0.815 0.4 -0.0 0.74 0.014500000000000013 0.8 0.905 -0.83 0.723 0.858 0.4 0.943 0.0 0.943 0.87 0.2 0.87 0.0 0.87 -0.012249999999999983 0.8 0.892 -0.97 0.769
__label__anger	anger_1	bug flavio more ? seriously ; discuss with flavio and come up with a patch & test that be deterministic . another option would be to refactor to allow the code in question to be test as a true unit test ; rather than as a system test ( we need to work on that in general in zk ) . mockito ?	0.0 0.0 0.0 0.0 0.0 2.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.49644000000000005 0.8064516129032258 0.964 0.104 0.5983333333333334 0.1935483870967742 -0.0 0.93 0.18891999999999995 0.8064516129032258 0.956 -0.91 -0.87 -0.1282727272727273 0.7096774193548387 0.902 -0.87 0.237 0.0722 0.3225806451612903 0.598 -0.72 -0.11 0.33982142857142866 0.9032258064516129 0.964 -1.0 -1.0
__label__fear	fear_0	i think with the late code ; this ' pop ' message should only show up if an avt be use with an incorrect value . if avt 's be not use ; the error should be catch statically and you should see the message : illegal value : sideways use for enum attribute : order . valid value be : ascending descending . do we have a testcase where the invalid value be in an avt ?	0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 1.0 0.0 0.0 4.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.4986071428571428 0.8 0.988 0.988 0.5657142857142857 0.2 -0.0 0.79 0.2705652173913043 0.6571428571428571 0.995 -0.74 0.082 0.2568333333333332 0.6857142857142857 0.986 -0.94 0.986 0.02016666666666665 0.34285714285714286 0.991 -0.74 0.991 0.29603125 0.9142857142857143 0.99 -0.88 0.99
__label__sadness	sadness_0	oppss … sorry late reply … thx for handle this issue claus . i prefer it to be the way it be now ; document this behaviour as claus already do . i think there might be both behaviour have its particular usage ; if we want to have a param that be a string ; it make sense to use < param > .. < / param > ; anything in between that 's enclose with %{} will be evaluate and its tostring ( ) call . on the other hand ; if we want an object ; we could used the value attribute . i guess what i be try to say be that both way of use param have their own usage . of course this be just my cent	0.0 0.0 0.0 0.0 2.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.5140222222222223 0.9 0.945 0.893 0.382 0.1 -0.0 0.83 0.3981951219512196 0.82 0.987 -0.87 0.815 0.013590909090909093 0.88 0.979 -0.98 0.972 -0.006470588235294114 0.34 0.882 -0.6 0.005 0.403725 0.8 0.935 -0.96 0.24
__label__love	love_2	patch be in. thanks .	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.746 0.5 0.746 0.746 0.58 0.5 -0.0 0.58 0.07150000000000001 1.0 0.723 -0.58 0.723 0.0 0.0 0.0 0.0 0.0 0.561 0.5 0.561 0.0 0.561 0.07450000000000001 1.0 0.769 -0.62 0.769
__label__love	love_3	thanks for the patch ; michael . apply with a few modification .	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.49375 0.5714285714285714 0.935 0.086 0.7066666666666666 0.42857142857142855 -0.0 0.82 -0.07933333333333331 0.8571428571428571 0.956 -0.97 -0.97 0.2175 0.2857142857142857 0.239 0.0 0.196 0.32280000000000003 0.7142857142857143 0.856 -0.13 0.856 -0.0027142857142857485 1.0 0.914 -0.99 -0.63
__label__surprise	surprise_0	woops ; think this be already fix …	0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.751 0.6666666666666666 0.789 0.713 0.81 0.3333333333333333 -0.0 0.81 0.1576666666666667 1.0 0.721 -0.95 -0.95 0.10399999999999998 0.6666666666666666 0.858 -0.65 -0.65 0.721 0.3333333333333333 0.721 0.0 0.721 0.019000000000000017 0.6666666666666666 0.788 -0.75 -0.75
__label__surprise	surprise_1	i do have some interest in work on this ; but it 's not currently on my radar . implement solr- would illustrate the issue that need fix .. although if this be tackle #ord# ; write solr- would be much easy .	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 2.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.6305384615384616 0.8125 0.935 0.806 0.7733333333333334 0.1875 -0.0 0.85 0.3618 0.625 0.956 -0.95 0.806 0.07825000000000003 0.5 0.858 -0.94 0.712 0.11175000000000002 0.25 0.721 -0.94 -0.94 0.28516666666666673 0.75 0.914 -0.77 -0.77
__label__love	love_4	thanks for the issue / step to resolve . pretty much do what you say verbatim . ( as it work out on the other regexp issue )	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.59875 0.8 0.996 0.996 0.6999999999999998 0.2 -0.0 0.74 0.27707692307692305 0.8666666666666667 0.996 -0.94 0.996 -0.16666666666666666 0.4 0.984 -0.94 -0.74 0.2826666666666666 0.4 0.614 -0.19 0.557 0.3155 0.9333333333333333 0.935 -0.74 -0.71
__label__love	love_5	patch apply . thanks !	0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.416 0.6666666666666666 0.746 0.746 0.58 0.3333333333333333 -0.0 0.58 0.07150000000000001 0.6666666666666666 0.723 -0.58 0.723 0.196 0.3333333333333333 0.196 0.0 0.196 0.21550000000000002 0.6666666666666666 0.561 -0.13 -0.13 0.11366666666666668 1.0 0.769 -0.62 0.769
__label__joy	joy_2	awesome . i actually do find #crd# more non-code file - the readme doc in java / social - api / and have add them as deletes to my client . good to know it check out with you though . unless anybody object i will submit this relatively soon .	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.49916666666666665 0.75 0.935 0.071 0.63 0.25 -0.0 0.07 0.1475263157894737 0.7916666666666666 0.971 -0.95 -0.07 0.05968749999999999 0.6666666666666666 0.955 -0.94 0.071 0.28788888888888886 0.375 0.816 -0.13 0.009 0.19889473684210526 0.7916666666666666 0.935 -0.85 -0.12
__label__love	love_6	patch apply . thanks	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.416 0.6666666666666666 0.746 0.746 0.58 0.3333333333333333 -0.0 0.58 0.07150000000000001 0.6666666666666666 0.723 -0.58 0.723 0.196 0.3333333333333333 0.196 0.0 0.196 0.21550000000000002 0.6666666666666666 0.561 -0.13 -0.13 0.11366666666666668 1.0 0.769 -0.62 0.769
__label__love	love_7	this work great for me ; but it have demonstrate another issue when some tapestry 's script file try to use the clientid in order to create javascript identifier for variable . i will open a new issue describe this .	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.29933333333333334 0.8571428571428571 0.935 0.064 0.49 0.14285714285714285 -0.0 0.75 0.14305263157894735 0.9047619047619048 0.956 -0.89 -0.03 0.027470588235294115 0.8095238095238095 0.773 -0.79 0.136 0.10166666666666666 0.42857142857142855 0.672 -0.11 -0.11 0.2703000000000001 0.9523809523809523 0.935 -0.69 0.267
__label__love	love_8	thanks for that comment richard ! i be labor under the ( false ) impression that i could not change the doc that go with our previous release ; but i see these be come from a copy on our svn site ; and we could actually change that #crd# . anybody object to my do that ? i could correct the link ; and also indicate this release be level out of date .	0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.47651851851851856 0.8709677419354839 0.939 0.097 0.5725 0.12903225806451613 -0.0 0.8 0.2938148148148148 0.8709677419354839 0.956 -0.75 -0.74 0.24091666666666667 0.7741935483870968 0.979 -0.94 0.142 0.11425 0.3870967741935484 0.752 -0.25 0.741 0.2726800000000001 0.8064516129032258 0.935 -0.92 -0.92
__label__love	love_9	verify ; thanks .	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.7725 1.0 0.799 0.746 0.0 0.0 -0.0 -0.0 0.635 1.0 0.723 0.0 0.723 -0.96 0.5 0.0 -0.96 -0.96 0.0 0.0 0.0 0.0 0.0 0.8295 1.0 0.89 0.0 0.769
