__label__love	love_0	svg transform on text attribute work excellent ! this snippet , for example , will increase your text by 0x at y - axis .	0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.364875 0.8 0.762 0.762 0.69 0.2 -0.0 0.66 -0.05680000000000002 0.5 0.781 -0.78 0.295 -0.09499999999999999 0.6 0.312 -0.73 -0.73 0.20099999999999998 0.6 0.882 -0.13 -0.13 0.22360000000000002 1.0 0.792 -0.73 0.792
__label__love	love_1	excellent ! this be exactly what i need . thanks !	0.0 0.0 0.0 0.0 0.0 0.0 2.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.815 1.0 0.906 0.746 0.0 0.0 -0.0 -0.0 0.8146666666666667 0.75 0.94 0.0 0.723 -0.87 0.25 0.0 -0.87 -0.87 0.0 0.0 0.0 0.0 0.0 0.7796666666666666 0.75 0.864 0.0 0.769
__label__sadness	sadness_0	have you try remove ' preload ' attribute ? ( afraid i can not be much help otherwise ! )	0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.41525 0.5714285714285714 0.823 0.823 0.3666666666666667 0.42857142857142855 -0.0 0.14 -0.0030000000000000187 1.0 0.967 -0.77 0.967 0.18080000000000002 0.7142857142857143 0.795 -0.65 0.795 0.0944 0.7142857142857143 0.882 -0.44 0.081 0.09685714285714285 1.0 0.788 -0.73 0.706
__label__sadness	sadness_1	ok , i find the reason : device wo not answer to simple user ( and do not matter what permission do you ask in program manifest ) . you can directly speak to device only if you be root ( or from kernel mode ) . that mean you can not use device directly from general application . very sad ☹️	0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 1.0 0.0 0.0 3.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.4871851851851852 0.8181818181818182 0.935 0.075 0.8133333333333334 0.18181818181818182 -0.0 0.91 0.15899999999999997 0.696969696969697 0.956 -1.0 -0.91 0.22552631578947369 0.5757575757575758 0.992 -0.94 0.08 0.016181818181818186 0.3333333333333333 0.831 -0.8 0.82 0.34772 0.7575757575757576 0.969 -0.85 0.075
__label__love	love_2	customise toolbar above ipad keyboard add a single line textfield aka sms style i have ipad app with landscape lock view with multiple textfields that i do nt want to scroll up but like to enter single line text via a textfield in the toolbar , next to the done , next and previous button . i be new to cod and build the app except for this customisation of the toolbar any help would be excellent 🙂	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.5814857142857142 0.813953488372093 0.939 0.784 0.5012500000000001 0.18604651162790697 -0.0 0.08 0.4070277777777778 0.8372093023255814 0.967 -0.89 0.889 -0.0793 0.6976744186046512 0.979 -0.95 -0.9 -0.12687500000000002 0.37209302325581395 0.9 -0.99 0.039 0.3629189189189189 0.8604651162790697 0.935 -0.95 0.559
__label__anger	anger_0	i do not understand why ( apple in this moment i be hate you ! ) , but alassetslibrary in ios do not allow fetch in a background thread ( i be run a series of in a ) . i solve by create a little wrapper use . edit : after a code refactoring and the upgrade to io , i finally realize that the problem be actually related to how alassetslibrary work , there be no need to use . .	0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 2.0 0.0 0.0 5.0 0.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.4948148148148149 0.7297297297297297 0.964 0.053 0.714 0.2702702702702703 -0.0 0.84 0.05853333333333332 0.8108108108108109 0.956 -0.99 -0.99 -0.01495652173913043 0.6216216216216216 0.979 -0.94 0.141 0.1356923076923077 0.35135135135135137 0.948 -0.72 -0.72 0.199 0.918918918918919 0.978 -0.96 -0.7
__label__love	love_3	excellent tip , thanks ! additionally you can try clarity	0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.44049999999999995 1.0 0.889 0.889 0.0 0.0 -0.0 -0.0 0.5655 0.6666666666666666 0.858 -0.1 0.858 0.357 0.6666666666666666 0.921 0.0 0.921 -0.02466666666666667 0.5 0.014 -0.1 -0.1 0.40499999999999997 0.8333333333333334 0.769 0.0 0.17
__label__love	love_4	excellent ! work exactly like i want . thanks .	0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.7986666666666666 0.75 0.906 0.746 0.66 0.25 -0.0 0.66 0.416 1.0 0.94 -0.78 0.723 -0.87 0.25 0.0 -0.87 -0.87 0.585 0.25 0.585 0.0 0.585 0.2816666666666667 0.75 0.769 -0.63 0.769
__label__anger	anger_1	hi i be use the chrome inspector ( f0 ) to try and analyze the z - index of a twitter bootstrap popover , and find it extremely frustrating … be there a way to freeze the popover ( while show ) so that i can assess and modify the associate css ? place a fix ' hover ' on the associate link do not cause the popover to appear .	0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.5370769230769232 0.7878787878787878 0.943 0.943 0.5671428571428572 0.21212121212121213 -0.0 0.35 0.26193103448275856 0.8787878787878788 0.995 -0.95 -0.13 0.021818181818181806 0.6666666666666666 0.979 -0.94 0.071 0.38375 0.36363636363636365 0.816 -0.1 0.694 0.23096428571428573 0.8484848484848485 0.935 -0.85 -0.67
__label__anger	anger_2	this be an absolutely horrid wart in the api , but it 's never go away .	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.558 0.5555555555555556 0.935 0.043 0.485 0.4444444444444444 -0.0 0.79 0.05633333333333333 1.0 0.956 -0.95 -0.03 0.309 0.4444444444444444 0.715 0.0 0.095 0.198 0.2222222222222222 0.456 -0.06 -0.06 0.02525 0.8888888888888888 0.996 -0.73 0.174
