__label__anger __label__sadness	sorry but this is just stupid .
__label__surprise	google was also strangely quiet .
__label__surprise	any ideas ?
__label__anger	though i disagree with a signficant amount of statements you made , i do n't think we would ever come to agreement anyway .
__label__anger	i did n't know we needed to retain backwards config capability across .x to .x ☹️ that sucks and it 'll make old code stick around longer .
__label__anger	but now that i think about it , it may crap out when coming back to read even on a recovered file .
__label__anger	igor is an idiot , and we * do * need gmake .
__label__anger	this way lies metadata hell .
__label__anger	my bad .
__label__anger	precommit - hdfs - build is stuck .
__label__anger	i disagree … and i guess i 'm willing to go to bat for this .
__label__anger	this was a very bad bug , introduced by me being an idiot .
__label__anger	that is bad .
__label__anger	my bad !
__label__anger	( how bad is this ?
__label__anger	ah , damn , i thought it was fixed 😕 guillaume ?
__label__anger	umm ... call me crazy , but why are we making this public ?
__label__anger	the state stuck at " allocated state " , it is a dup of .
__label__anger	it may cause conflicts , but if your intent is to break system security , you probably do n't care .
__label__anger	stupid user error 🙂
__label__anger	hadoop- : - if tarball is specified , hod no longer validates for the pkgs directory in gridservice - hdfs or mapred sections as these are not going to be used anyway .
__label__anger	pull it back in if you think different .
__label__anger	that 's pretty unlikely .
__label__anger	@jira - i wish you did n't suck so much .
__label__anger	i abbreviated the heck out of my arguments and thinking , but damn it that s what i think 🙂
__label__anger	bad .
__label__anger	that sucks , why is n't the escape mechanism working ?
__label__anger	damn it !
__label__anger	crap , forgot to verify that this is inconsistant with mri , it 's not .
__label__anger	then , to make matters worse , since the mid- 's i 've been offering pro bono advice to non-profit foundations whose members insult me regularly and assume i 'm an amateur .
__label__fear	we 'll look at the issue for
__label__love __label__joy	upvote the patch looks good .
__label__love __label__joy	looks excellent . really sweet . + where does the jar come from and what s its license ? + the rest api looks good . very resty . there might be little nitpicks later but for it looks great . how different is it from current rest . should the two be the same ? if not , how to deprecate the old ? + the annotations look interesting . could their serializations be used in other contexts , the shell say ? or -- warning - > crazy - thought coming -- somehow producing thrift idl ? + in hadoop / hbase , line lengths are < chars ( your new classes are missing apache license , classes are missing comments describing what class is about , etc ) . + is there anything we could do refactoring htable say , so your modeling was easier ? looks like lots of code in your cell and database controllers . should our client be taking on this model ? + can you add a note on how you 've changed how rest works , high - level ? that s all for now .
__label__love __label__joy	upvote for the patch , pending successful jenkins run for the latest version . the changes look good . i verified on both mac and windows . thanks for addressing this , andrey ! i 'll commit this after jenkins responds with upvote for the latest version .
__label__love __label__joy	hi luca , i 've applied the changes you mentioned and it worked fine on my end ( windows ) . can you try this on your end as well ? i 've attached the patch . thanks !
__label__love __label__joy	excellent , thanks a lot !
__label__love __label__joy	as olivier does all the great work here , i assigned the issue to him . thank you !
__label__love __label__sadness	nadya , thanks a lot for applying the patch . the changes are on the site . everything looks the way it should . imho , we should close the issue now . p.s. forgot to mention other changes . sorry . will be more attentive in future .
__label__love	committed to branch- and trunk . thanks rohini .
__label__love	thanks areek , new patch looks great ; i 'll commit shortly .
__label__love	thanks , mayank
__label__love	thanks avi !
__label__love	thanks for double - checking the fix , knut . i am thinking of merging the fix into tomorrow just to make sure that tests run fine on the tinderbox . all the tests ran fine on my machine .
__label__love	hi james , this patch has been applied by chirino in the revision at sep .
__label__love	hi dan ! !
__label__love	patch committed . thanks , pradeep !
__label__love	i just committed this to trunk . thanks ! note : made some slight changes to patch to apply correctly to trunk .
__label__love	thanks to simon kitching .
__label__love	hi alena , hope all is well , sorry for delayed response , the vms do nt belong to any project . i could not find a way to retrieve all vms without looping the projects . thanks ilya
__label__love	patch applied ! thanks .
__label__love	thanks doug for the change .
__label__love	thanks suresh .
__label__love	hi sandy , thanks so much to give me such comments , that 's really helpful , i will update this later .
__label__love	committed to trunk . thanks ning .
__label__love	thanks in advance jens
__label__love	thanks for your comments , konstantin .
__label__love	thanks daniel . we will get back on this as soon as we have the correct information . thank you .
__label__love	thanks ravi .
__label__love	upvote for . thanks .
__label__love	[ ~ apresta ] thanks for the fast review .
__label__love	that sounds like a plan . i love peer - reviews … 🙂
__label__love	committed to branch , thanks eli .
__label__love	i rather we do n't work on older versions . if this is still an issue in , please submit a new patch for . thanks .
__label__love	patch applied . thanks florian .
