__label__joy __label__surprise	million unique visitors per hour ? wow ! is this experts exchange or some ( other ) pr0n site ? 😉
__label__joy __label__sadness	yes ... all this works ... but if the user presses their refresh button on their browser it will add another record .
__label__fear	i must investigate further , but i fear it 's not : big precompiled pieces of middleware ahead !
__label__fear	it sounds very scary to me to use a floating point number for a key in a ` map ` .
__label__fear	nope … does n't fix it i 'm afraid !
__label__fear	i am about to alter the several tables in a massive system which i probably only understand around % . i want to add three columns . one of these is just a rename of an existing column . part of me wants to :- rename the column but worried about the impact on unknown parts of the system that use the old name . append the three columns to the table therefore making the old column redundant ( over time ) .
__label__fear	i have a django application built in our shop and currently we are moving to production that will run a apache web server . the application will run on multiple webservers due to load issues . now , i 'm really worried since it 's running multiple webservers . issue - the application generates unique ids for session management and maintains it locally . now , if a user goes to webservers - a and creates a unique id and then in the next request goes to webservers - b he will be invalidated because the unique id created for him will be local to webservers - a. how can i fix this issue ?
__label__fear	my application links against libsamplerate.a . i am doing this to make distributing the final binary easier . i am worried that perhaps the code inside the . a file depends on some other libraries i also will need to distribute . but if it does n't i am worried i am bloating up my application too much by including multiple copies of eg . libc . what exactly will be inside libsamplerate.a ? just libsamperate 's bytecode ? or more ?
__label__fear	when i click on memcache viewer the whole dashboard crashes and i have to login again . this is really worrying me as we are serving data to many users . a server error has occurred . is there a way to see the internal logs ? i ca n't see anything in nor . is there any other way to reset the memcache ?
__label__fear	is this valid ? what i 'm really worried about is can you specify type and also use def at the same time ?
__label__joy __label__anger	as pointed out in the comments , you can read arguments from the cmd line in the args area of the main method , for example : when running this with : it wrote out the name of the file . hope this helps !
__label__surprise	i have done some research for " the bast way to insert huge data into db with c # " then a lot of people just suggested me using sqlbulkcopy . after i tried it out and it really amazed me . undoubtedly , sqlbulkcopy is very very fast . it seems that sqlbulkcopy is a perfect way to insert data ( especially huge data ) . but why do nt we use it at all times . is there any drawback of using sqlbulkcopy ?
__label__surprise	i did n't know that . i always thought it was and .
__label__surprise	why does the test return false ?
__label__love	upvote for excellent knowledge and many thanks
__label__love	is there a way to use records directly in erl ? no matter what i try , it always says it canno find the record . i am trying to do mnesia transactions and i can not go too far without my records . any help is greatly appreciated - thank you !
__label__love	loving susy , so far ! now i 'd like this initial layout … to turn into this layout on a smaller screen : is this possible using susy ? furthermore , i 'd want the ac - column to function as a single entity when they 're in the same column , since i 'd like to give them sticky behavior .
__label__love	this code seemed to do it : the accepted answer goes to dystroy as he was the first to point me in the right direction , excellent answer by bart kiers though , upvote !
__label__love	wow ! awesome responses - i 'll have to try'em out after work today , and i 'll let y'all know how it goes 🙂
__label__love	excellent ! exactly what i was looking for . thanks anna .
__label__love	hey , you guys are great , thanks a whole bunch ! i will set up the environment in the cron script .
__label__love	excellent , well thought out and worded question . upvote , more if it were only possible !
__label__love	good enough answer for me 🙂 i get the same , let s hope they fix it soon because xbap deployment i 'm learning to love !
__label__love	no worries ! joe
__label__love	i have been trying to create a slider based on nivo slider that looks and functions similar to the carousel found at i have viewed questions by and by , however i have been going round in circles for most of the weekend . now back at square one and starting from the basics . thus far i have managed to get the navigation working such that mouseenter on a particular nav item triggers nivo - controlnav to display the correct slide and pauses the slider : i also created a subsequent mouseleave function for the nav items ( , , etc. ) i 'm now stuck at the part where non-mouse events come in. when the slider loads it should update the nav css to highlight the current nav item selected . here is what i 've got ( not a lot i know , but i 'm trying ) . then the simple html nav menu : any help / ideas / musings would be hugely appreciated !
__label__love	@john saunders : ok thanks . the only reason to ask you was that you seemed to be pretty knowledgeable , so i thought what the hey ! i did n't mean to break any so rules here .
__label__love	i 've got an application that i 'm moving over to clickonce and the app has a moderately sized data folder with hundreds of files that i need to inlcude in the deployment . the folder needs to be in the same place relative to the exe after deployment . i 've seen several suggestions on how to do this but there does n't seem to be a agreed upon method for doing this . any suggestions would be great - thanks !
__label__love	i have a small application that i am building a chat application into , so far i have the functionality to post messages ! i do n't need a login as there will only be a small number of users and i will use their windows username for identification . has anyone done anything similiar ? what else do i need to add ? it does n't need to be all singing and dancing as it is just for use within a small development team . any ideas would be great ! thanks
__label__love	works pretty good for me , you perfectionists ! ( just teasing )
__label__love	an excellent and elegant solution . kudos .
__label__love	@maltec , no worries !
__label__love	i have a botton which is for changing the background image with jquery , as the following code shows it works very fine ! but i want to fade in the newbg - image … is it possible to add a jquery fade method to it . any help would be very appreciated . thanks ted
__label__love	in the following string , i 'm trying to add an additional span around the but keep it inside the . i 've tried prepend and wrap before and after the . html , but ca n't get it or anything to do it correctly . result would look like here 's the full snippet if that helps : any help would be hugely appreciated !
__label__love	i 'd say spike should be part of the iteration plan . not just in time . they should be accounted for the story they belong to . even reading of parts of the manual should be estimated . and now for the hard part : do n't be afraid to give high estimates . realistic is always better than too low . 😉
__label__love	i 'd be interested to hear how this works out . you are very brave 🙂
__label__love	excellent ! thank you so much for the thorough explanation , and for providing the demo . so ` eval ( ) ` allows you to access the value stored in each variable . this is handy if you want the name of your variable to itself be stored in a variable . handy ! you did an excellent job explaining . gold star for you . 🙂
__label__love	i love you dude ! 🙂 saved me a lot of time .
__label__love	@marc - andrã© lafortune your answer there was incredibly helpful ! thank you !
__label__love	@alexk . excellent thought . edited .
__label__love	excellent tutorial !
__label__love	excellent example and interesting discussion ! thanks everyone !
__label__love	to joseph holsten 's excellent list , i add the xpath command - line script which comes with perl library xml::xpath . a great way to extract information from xml files :
__label__love	excellent question ! i know this is an old post , but it saved me on a big project i am working on … so , thanks !
__label__love	i created a mastermind code and when i attempt to run it on my mac it just says " logout " . if anyone knows why , that would be extremely helpful ! here is the code :
__label__love	excellent workaround … !
__label__love	excellent , thanks very much !
__label__love	upvote this is the most accurate answer - asp . net and . net are supported in r2 sp1 . it 's not painless but all the necessary parts are in the links above . there is an excellent installation guide at http://technet.microsoft.com/en-us/library/cc753802.aspx
__label__love	i 'm trying to make a link inside the fancybox single image title . i want it to redirect me to another fancybox window ( witch is inline ) ... i have a script that makes the whole single image a link , but this targets my document title instead of the anchor title … i really hope someone will have a solution or a better idea on how to do it ! ! 🙂 thank you thank you thank yooou ! 🙂 btw : i have almost never worked with scripts … in depth anyways …
__label__love	it 's works fine 🙂 thanks !
__label__love	upvote fantastic question ! i have no idea when i would ever use this , but i 'm fascinated to know someone needs this .
__label__love	two excellent answers , thank you ! i chose andrew 's primarily because i learned a bit more about knockout from it , but both are good options . i 'd use rp 's method to get something to use in a more generic " anything can be chosen " scenario , but i think making it a single object is probably a better fit for my uses .
__label__love	excellent handle 🙂
__label__love	so i have a facebook page and a username / llamafont so i obviously want to keep that url . i have had the like button on sub pages ( you save phrases and can like / share them on fb ) since before i made the page on fb. when i have added the like button to my homepage for my base url , it shows 62k likes - great ! however on my facebook page i only have - i guess these are the people who liked the page directly on fb ? how can i make the 62k likes show up on my page in facebook ? do i need to add in all the meta og : stuff ? right now i only have og:image in there . have i screwed it up for good ? or can i make fb recognize the likes somehow ? thanks in advance !
__label__love	@johannes yeah….definitely positive !
__label__love	excellent advice , thanks !
__label__love	@shlomihassid no worries !
__label__love	flexunit is pretty awesome - also asunit - they are both pretty similiar and both haven taken quite a bit from frameworks like junit . flexmonkey ( ) although i have n't used it myself seems to do ui unit testing .
__label__love	you actually can use html5 tech to apply on that beside , you can use a gem ' client - side validation ' the github is here i suggest you use the gem….pretty awesome 😃
__label__love	i 've just stumbled onto this one there you will find a couple of really great templates ! ! !
__label__love	that looks like a really excellent article , thanks for linking it . 🙂 where are you getting stuck ? do your logfiles show attempts to access the mobile content ? if you add some logging to your browser detection , can you tell when the opera mini emulator is connecting vs when a desktop browser connects ?
__label__love	i 've bitten off more than i can chew and need some help with woocommerce . i 'm trying to edit the shop front page ( i 've managed to do the product single pages fine ) but ca n't find the out put for the hooks anywhere . basically , all i 'm trying to do is make the title of the product appear before the thumbnail and add a " view " button after the thumbnail . i 'm literally pulling my hair out so if anyone could help i 'd be extremely grateful !
__label__love	when i try to generate an app with almost all the i have tried reinstalling both bowline and bowline - bundle separately with but i have no clue where i am at . could someone please enlighten me on this issue , would be very greatful !
