__label__joy	joy_0	as suggested above ; i moved the detector classes from o.a.t.detect to o.a.t.parser subpackages in revision . that should complete the last remaining open issue with this feature ; so resolving as fixed .	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.33453846153846156 0.7647058823529411 0.935 0.065 0.46 0.23529411764705882 -0.0 0.81 0.09368750000000002 0.9411764705882353 0.956 -0.96 -0.95 0.09044444444444444 0.5294117647058824 0.323 -0.79 0.247 -0.098625 0.47058823529411764 0.721 -0.78 0.721 0.30933333333333335 0.8823529411764706 0.935 -0.75 -0.75
__label__joy	joy_1	yay ! it should be really really easy ( not including the test ; i think it 's just deleting characters )	0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.642875 0.8 0.935 0.115 0.76 0.2 -0.0 0.78 0.32800000000000007 1.0 0.956 -0.82 -0.82 0.1205 0.4 0.858 -0.87 0.274 0.34299999999999997 0.4 0.958 -0.17 0.958 0.330125 0.8 0.914 -0.71 -0.55
__label__love	love_0	thanks for the patch jì_rgen . revision .	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.6296666666666667 0.6 0.935 0.935 0.33499999999999996 0.4 -0.0 0.09 0.2548 1.0 0.956 -0.58 -0.12 0.239 0.2 0.239 0.0 0.239 0.30500000000000005 0.4 0.561 0.0 0.561 0.26979999999999993 1.0 0.914 -0.62 -0.06
__label__anger	anger_0	i should have marked this resolved back in september .	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.3606 1.0 0.823 0.157 0.0 0.0 -0.0 -0.0 0.3176 1.0 0.854 -0.03 0.082 -0.15139999999999998 1.0 0.247 -0.7 0.191 -0.13 0.4 0.0 -0.19 -0.19 0.4518 1.0 0.912 0.0 0.198
__label__love	love_1	patch applied . thanks florian .	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.416 0.6666666666666666 0.746 0.746 0.58 0.3333333333333333 -0.0 0.58 0.07150000000000001 0.6666666666666666 0.723 -0.58 0.723 0.196 0.3333333333333333 0.196 0.0 0.196 0.21550000000000002 0.6666666666666666 0.561 -0.13 -0.13 0.11366666666666668 1.0 0.769 -0.62 0.769
__label__love __label__joy	love_joy_0	ah ; great ; things are running now . thanks guys .	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.8486666666666666 0.6 0.943 0.943 0.815 0.4 -0.0 0.74 0.014500000000000013 0.8 0.905 -0.83 0.723 0.858 0.4 0.943 0.0 0.943 0.87 0.2 0.87 0.0 0.87 -0.012249999999999983 0.8 0.892 -0.97 0.769
__label__anger	anger_1	bug flavio more ? seriously ; discuss with flavio and come up with a patch & test that is deterministic . another option would be to refactor to allow the code in question to be tested as a true unit test ; rather than as a system test ( we need to work on that in general in zk ) . mockito ?	0.0 0.0 0.0 0.0 0.0 2.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.49644000000000005 0.8064516129032258 0.964 0.104 0.5983333333333334 0.1935483870967742 -0.0 0.93 0.18891999999999995 0.8064516129032258 0.956 -0.91 -0.87 -0.1282727272727273 0.7096774193548387 0.902 -0.87 0.237 0.0722 0.3225806451612903 0.598 -0.72 -0.11 0.33982142857142866 0.9032258064516129 0.964 -1.0 -1.0
__label__fear	fear_0	i think with the latest code ; this ' pop ' message should only show up if an avt is used with an incorrect value . if avt 's are n't used ; the error should be caught statically and you should see the message : illegal value : sideways used for enum attribute : order . valid values are : ascending descending . do we have a testcase where the invalid value is in an avt ?	0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 1.0 0.0 0.0 4.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.4986071428571428 0.8 0.988 0.988 0.5657142857142857 0.2 -0.0 0.79 0.2705652173913043 0.6571428571428571 0.995 -0.74 0.082 0.2568333333333332 0.6857142857142857 0.986 -0.94 0.986 0.02016666666666665 0.34285714285714286 0.991 -0.74 0.991 0.29603125 0.9142857142857143 0.99 -0.88 0.99
__label__sadness	sadness_0	oppss … sorry late reply … thx for handling this issue claus . i prefered it to be the way it is now ; document this behaviour as claus already did . i think there might be both behaviour have its particular usage ; if we want to have a param that is a string ; it makes sense to use < param > ... < / param > ; anything in between that 's enclosed with %{} will be evaluated and its tostring ( ) called . on the other hand ; if we want an object ; we could used the value attribute . i guess what i 'm trying to say is that both way of using param have their own usage . of course this is just my cents	0.0 0.0 0.0 0.0 2.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.5140222222222223 0.9 0.945 0.893 0.382 0.1 -0.0 0.83 0.3981951219512196 0.82 0.987 -0.87 0.815 0.013590909090909093 0.88 0.979 -0.98 0.972 -0.006470588235294114 0.34 0.882 -0.6 0.005 0.403725 0.8 0.935 -0.96 0.24
__label__love	love_2	patch is in. thanks .	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.746 0.5 0.746 0.746 0.58 0.5 -0.0 0.58 0.07150000000000001 1.0 0.723 -0.58 0.723 0.0 0.0 0.0 0.0 0.0 0.561 0.5 0.561 0.0 0.561 0.07450000000000001 1.0 0.769 -0.62 0.769
__label__love	love_3	thanks for the patch ; michael . applied with a few modifications .	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.49375 0.5714285714285714 0.935 0.086 0.7066666666666666 0.42857142857142855 -0.0 0.82 -0.07933333333333331 0.8571428571428571 0.956 -0.97 -0.97 0.2175 0.2857142857142857 0.239 0.0 0.196 0.32280000000000003 0.7142857142857143 0.856 -0.13 0.856 -0.0027142857142857485 1.0 0.914 -0.99 -0.63
